<OOV>,-0.018948536,-0.00858467,0.0006942462,-0.043014262,0.008236973,-0.032021374,-0.03606495,0.10709948,-0.023707526,0.006268854,-0.022408042,0.050410274,0.049380418,-0.024096062,0.028039249,0.010088226,0.0722284,-0.013444529,0.017837962,0.024804957,-0.051727768,0.016457785,-0.048852496,0.036096945,-0.0014822464,-0.012048585,0.016425353,0.024857216,-0.0034442667,0.016771723,-0.032219365,-0.01686776,0.054399353,0.054204624,-0.0044530965,0.0050651524,0.004466936,-0.008910791,-0.05336773,-0.06066495,0.03817803,0.03159256,-0.03241364,-0.044621777,-0.04458458,-0.029230101,-0.009578634,-0.08692021,0.028742792,0.056300797
the,0.06332634,0.041874878,-0.008671701,-0.097009584,-0.062849514,0.0381981,0.0033539801,-0.082068436,0.0075286846,0.02635962,-0.015336707,-0.021698205,0.024650665,-0.06389822,-0.053049404,0.0136919515,-0.063473485,-0.059043735,-0.07038725,-0.006433369,-0.008592148,0.094383776,-0.019103136,0.061597984,-0.031575546,-0.05782873,0.0034121766,-0.02988933,-0.08996925,0.059915952,-0.023132095,0.00010622527,0.025547476,-0.03647163,0.022501498,-0.0672771,-0.028875114,0.03153335,-0.06290774,-0.066295624,0.008609118,0.055567853,-0.010633021,0.006973389,0.015588692,0.026193123,0.034961503,0.0246271,0.0138200885,0.04275644
and,-0.008033736,-0.06355903,-0.032861285,-0.011420532,-0.0057837195,-0.049277104,0.025197417,0.16181864,-0.00097255065,-0.046759263,0.041242786,-0.047185563,0.090684675,-0.010179419,0.011907916,-0.07701905,0.027905613,-0.018365964,-0.08492234,-0.022910137,-0.031243104,-0.058071338,-0.04984536,-0.0071327286,-0.012756155,-0.081177495,0.07978735,-0.097138986,-0.010595448,0.06491576,0.06356327,-0.05557557,0.08517571,0.030439397,0.015533948,-0.09104112,0.031069364,-0.006478878,-0.023832723,-0.027675835,0.023103196,0.0023091962,0.02247645,-0.08966898,-0.020993223,0.035543405,0.012228279,-0.03832255,0.048966136,-0.0128165
of,0.052402094,-0.02710857,-0.055123072,-0.04393619,0.0053429245,-0.00012372984,0.05688617,-0.03675407,0.07509243,-0.03369997,-0.038695306,-0.08019146,0.027607061,-0.087340504,-0.017907888,-0.029707361,-0.04700521,-0.058581147,-0.081654646,-0.029597545,-0.036611464,-0.020506583,-0.013909797,0.04870836,-0.011291053,-0.08109118,0.02032015,-0.040180672,-0.049201764,0.02642172,0.075651854,-0.07452737,-0.047867496,0.03760513,0.0566316,-0.06864982,-0.030016687,0.01876104,-0.060095295,-0.057139277,-0.07104579,0.035092056,-0.023850022,-0.06437291,-0.02916148,0.041766666,0.06936654,-0.00023460787,0.033568818,4.52094e-06
to,-0.0024302783,-0.0053686677,-0.06161602,-0.0048251506,0.0055698464,0.026140098,0.0032918355,0.1014639,0.026017245,-0.036103226,0.023470119,-0.05421046,0.04257979,-0.022861814,-0.016325993,-0.028624088,0.017127953,-0.009685069,-0.06458084,-0.01819318,-0.019897781,0.04790041,0.0016767215,0.012247878,0.052318852,-0.07788883,0.03113858,-0.070697926,0.00013112326,0.007177744,0.012253566,-0.109986745,-0.03297754,0.015370879,0.055729996,-0.031164931,-0.08409512,-0.009999813,-0.042545233,-0.024454325,-0.057916753,0.08367308,-0.0035972148,-0.084332734,-0.06981004,0.048082583,0.09199222,0.031899933,0.08517235,0.0042702737
in,0.08418474,-0.061985835,-0.046131637,-0.09096685,-0.03143982,0.057346784,-0.029831983,-0.008177614,0.03075935,-0.047052067,0.020153452,-0.02559949,0.016588042,-0.10536376,-0.066866174,-0.08395043,-0.084521376,-0.06614742,-0.11130945,-0.038202174,-0.07940912,0.017669708,-0.1030267,0.098419614,-0.009325352,-0.08556977,0.029987147,-0.05670464,-0.0966451,0.11619885,-0.026573822,-0.058999464,-0.052850645,-0.04562839,0.09363313,-0.006904557,-0.081307866,-0.025530104,-0.12187202,-0.07046765,-0.054575793,0.10169109,0.0070640454,0.00093301653,-0.042440116,0.103333905,0.043792266,0.072922714,0.032481372,0.03594153
a,0.05045496,0.044138197,-0.03732899,-0.028642967,0.020650038,0.0030797513,0.046531975,0.2301662,0.0766302,-0.04812675,0.021418147,-0.04033998,-0.046432238,-0.12320959,0.015060242,0.062671706,-0.0049997205,-0.012227595,-0.085029304,-0.056253884,-0.119012095,-0.010744126,-0.012891173,-0.03476656,0.021352386,-0.052813955,0.046178084,-0.03644446,-0.010610895,0.062591106,-0.048030674,-0.063283645,-0.04852423,0.015153375,-0.007619794,-0.01598098,-0.09016555,-0.05304668,-0.041024823,-0.053035975,-0.016462998,0.04807108,-0.040580846,-0.042799026,-0.105178475,-0.030075895,0.042199288,0.024811735,0.0084727565,0.044294104
is,-0.13258879,0.19197291,0.12839401,0.07280902,0.027400142,0.05509093,-0.054119572,-0.115698785,-0.05868128,0.13290489,0.009110416,0.08844028,-0.09610957,0.097600795,0.018903717,0.13221635,0.03913779,0.10654732,0.08665067,0.14196482,0.05603321,-0.043096244,0.14228366,-0.14011542,0.13125211,0.10032417,-0.12224825,-0.017300243,0.046159405,-0.06963661,-0.090195924,0.1315983,0.078459516,0.08478174,-0.09808104,0.06548161,0.038677275,-0.02999955,0.1218551,-0.0052505555,0.14704277,-0.104975335,-0.169691,0.12510704,0.06534746,-0.1572717,-0.10571157,8.9045374e-05,-0.10910349,-0.074927785
that,0.049740065,-0.029885152,-0.042718682,-0.06549719,-0.032540645,0.050279185,0.067633,-0.024606712,0.081981294,-0.035771176,-0.09764099,-0.1054806,-0.017902156,-0.059512153,0.0121115325,-0.012318896,-0.080722325,-0.04093003,-0.035311144,0.014415342,-0.06560142,0.072868265,-0.0113822855,0.030129883,-0.0503285,-6.0585335e-05,0.06218913,-0.024702674,0.022743538,0.060256526,0.014665378,-0.084536366,-0.0858303,-0.051851023,0.06319186,-0.058034245,-0.041616276,0.0149527555,-0.054597445,-0.021680899,-0.004420176,0.058162894,-0.026971916,-0.06437921,-0.11017462,0.08699286,0.04029917,0.07339823,0.06166654,0.097425506
china,0.01015666,-0.1007802,-0.034145325,-0.043463133,-0.03280118,-0.09131916,0.06319577,-0.10388491,0.0953641,-0.032202896,0.042873107,-0.09797073,0.066380635,-0.060661778,-0.103928775,-0.011250809,-0.13847029,-0.07715174,-0.038967628,-0.07101945,0.12928389,-0.03320435,-0.053266235,0.013083584,-0.0668102,0.01574906,0.06098924,-0.11914291,0.0062604705,-0.0017414311,0.12877406,0.020366808,-0.053559165,-0.08218773,0.028875357,-0.03793413,-0.07052471,0.008524344,0.006554503,-0.098011486,0.0062136566,0.0058261496,-0.007482836,-0.077269115,-0.09993815,0.0014022548,0.025365163,0.049483065,0.08494187,0.078726545
